    1,  3435,  3454,  3159,    44, 21161, 21162, 21163, 21164
    2,  3446,  3455,     1,  3160, 21165, 21166, 21167, 21168
    3,  3530,  3163,  3164,  3533, 21169, 21170, 21171, 21172
    4,  4181,  4374,  4339,  4139, 21173, 21174, 21175, 21176
    5, 18716,  6151,  6021,  5695, 21177, 21178, 21179, 21180
    6,   395,  6993,  6880, 18966, 21181, 21182, 21183, 21184
    7,  7871, 19718,  7703,  7966, 21185, 21186, 21187, 21188
    8,  8516,  8621,  8421,  8622, 21189, 21190, 21191, 21192
    9,  9432,  9446,  9505,   485, 21193, 21194, 21195, 21196
   10, 10843, 20256,   508, 10976, 21197, 21198, 21199, 21200
   11, 11651, 12590, 12140,   532, 21201, 21202, 21203, 21204
   12, 14236, 14268,   558, 19386, 21205, 21206, 21207, 21208
   13, 15280, 14515, 14900, 15480, 21209, 21210, 21211, 21212
   14, 15834, 15979, 16094, 16003, 21213, 21214, 21215, 21216
   15, 18351, 18325, 18597, 15136, 21217, 21218, 21219, 21220
   16, 13836, 17871,   705, 17711, 21221, 21222, 21223, 21224
   17, 11765, 17605, 12928, 12219, 21225, 21226, 21227, 21228
   18, 11098,   774, 11490, 11397, 21229, 21230, 21231, 21232
   19,  3416, 10630, 10458,   251, 21233, 21234, 21235, 21236
   20, 10283,   250,   249, 10284, 21237, 21238, 21239, 21240
   21,   809, 10630, 10283, 11098, 21241, 21242, 21243, 21244
   22, 10629,  3415,   248, 10321, 21245, 21246, 21247, 21248
   23,   740, 10905, 11239, 11388, 21249, 21250, 21251, 21252
   24,   706, 11625, 12328, 12098, 21253, 21254, 21255, 21256
   25, 13055,   674, 12877, 13350, 21257, 21258, 21259, 21260
   26,   644, 13503, 18199, 14035, 21261, 21262, 21263, 21264
   27, 14737, 18511, 15130,   614, 21265, 21266, 21267, 21268
   28, 16182, 15750, 15804, 15801, 21269, 21270, 21271, 21272
   29, 19386, 15349, 14970, 14893, 21273, 21274, 21275, 21276
   30, 13590, 13303, 19949, 12629, 21277, 21278, 21279, 21280
   31, 11884, 12494,   509, 11262, 21281, 21282, 21283, 21284
   32,   463,  9490,  9418, 20474, 21285, 21286, 21287, 21288
   33,  9364,  9195,  9017,  9065, 21289, 21290, 21291, 21292
   34,  8837,  8982,  9138,  8736, 21293, 21294, 21295, 21296
   35,   397,  8117,  8067,  8194, 21297, 21298, 21299, 21300
   36,  7099,  7214,  6955,  7344, 21301, 21302, 21303, 21304
   37,  5861,  5603,  5892,  5981, 21305, 21306, 21307, 21308
   38, 17868,  4910, 17869,  4738, 21309, 21310, 21311, 21312
   39,  3810,  4152,  3530,  3533, 21313, 21314, 21172, 21315
   40,  3517,  3707,     2,  3162, 21316, 21317, 21318, 21319
   41,  3537,  3166,  3167,  3536, 21320, 21321, 21322, 21323
   42,  3541,  3168,  3169,  3540, 21324, 21325, 21326, 21327
   43,  3171,  3170,  3457,  3515, 21328, 21329, 21330, 21331
   44,  3458,     6,  3172,  3548, 21332, 21333, 21334, 21335
   45,  3515,  3459,     6,  3171, 21336, 21337, 21338, 21331
   46,  3552,  3174,  3175,  3553, 21339, 21340, 21341, 21342
   47,  3557,  3177,  3178,  3556, 21343, 21344, 21345, 21346
   48,  3180,  3179,  3462,  3512, 21347, 21348, 21349, 21350
   49,  3463,    10,  3181,  3563, 21351, 21352, 21353, 21354
   50,  3512,  3464,    10,  3180, 21355, 21356, 21357, 21350
   51,  3567,  3183,  3184,  3566, 21358, 21359, 21360, 21361
   52,  3571,  3185,  3186,  3572, 21362, 21363, 21364, 21365
   53,  3574,  3703,  3188,    13, 21366, 21367, 21368, 21369
   54,  3578,    14,  3190,  3580, 21370, 21371, 21372, 21373
   55,  3190,    14,  3466,  3577, 21371, 21374, 21375, 21376
   56,  3583,  3192,  3193,  3582, 21377, 21378, 21379, 21380
   57,  3587,  3194,  3195,  3586, 21381, 21382, 21383, 21384
   58,  3197,  3196,  3467,  3590, 21385, 21386, 21387, 21388
   59,  3452,    18,  3199,  3596, 21389, 21390, 21391, 21392
   60,  3199,    18,  3443,  3594, 21390, 21393, 21394, 21395
   61,  3600,  3201,  3202,  3599, 21396, 21397, 21398, 21399
   62,  3203,  3603,  3469,    20, 21400, 21401, 21402, 21403
   63,  3206,  3205,  3470,  3504, 21404, 21405, 21406, 21407
   64,  3609,    22,  3207,  3611, 21408, 21409, 21410, 21411
   65,  3733,  3960,  3609,  3611, 21412, 21413, 21411, 21414
   66,  3504,  3471,    22,  3206, 21415, 21416, 21417, 21407
   67,  3617,  3210,  3211,  3616, 21418, 21419, 21420, 21421
   68,  3621,  3212,  3213,  3620, 21422, 21423, 21424, 21425
   69,  3474,  3438,  3215,  3214, 21426, 21427, 21428, 21429
   70,  3626,    26,  3216,  3628, 21430, 21431, 21432, 21433
   71,  3438,  3475,    26,  3215, 21434, 21435, 21436, 21427
   72,  3634,  3219,  3220,  3633, 21437, 21438, 21439, 21440
   73,  3638,  3221,  3222,  3637, 21441, 21442, 21443, 21444
   74,  3734,  3640,  3499,  3922, 21445, 21446, 21447, 21448
   75,  3644,    30,  3225,  3645, 21449, 21450, 21451, 21452
   76,  3225,    30,  3478,  3643, 21450, 21453, 21454, 21455
   77,    31,  3479,  3440,  3226, 21456, 21457, 21458, 21459
   78,  3655,  3654,  3735,  3984, 21460, 21461, 21462, 21463
   79,  3232,    33,  3656,  3480, 21464, 21465, 21466, 21467
   80,  3702,  3233,    34,  3659, 21468, 21469, 21470, 21471
   81,  3234,    34,  3481,  3658, 21472, 21473, 21474, 21475
   82,  3664,  3236,  3237,  3521, 21476, 21477, 21478, 21479
   83,  3668,  3238,  3239,  3670, 21480, 21481, 21482, 21483
   84,  3241,    37,  3672,  3484, 21484, 21485, 21486, 21487
   85,  3485,  3241,  3242,  3673, 21488, 21489, 21490, 21491
   86,  3243,    38,  3486,  3674, 21492, 21493, 21494, 21495
   87,  3681,  3680,  3736,  3983, 21496, 21497, 21498, 21499
   88,  3737,  3685,  3684,  3947, 21500, 21501, 21502, 21503
   89,  3249,    41,  3687,  3487, 21504, 21505, 21506, 21507
   90,  3950,  3689,  3691,  3949, 21508, 21509, 21510, 21511
   91,  3252,    42,  3488,  3692, 21512, 21513, 21514, 21515
   92,  3436,    43,  3254,  3522, 21516, 21517, 21518, 21519
   93,  4354,  3972,  4345, 17505, 21520, 21521, 21522, 21523
   94,  4700,  4877, 17511, 17506, 21524, 21525, 21526, 21527
   95,  6382,  6210,  6083, 17777, 21528, 21529, 21530, 21531
   96,  7377,  6382,  7123,  7264, 21532, 21533, 21534, 21535
   97, 18481,  7255, 18257, 10723, 21536, 21537, 21538, 21539
   98,  7993,  8110,  7856,  7793, 21540, 21541, 21542, 21543
   99,  8133,  8232, 10148,  8448, 21544, 21545, 21546, 21547
  100, 11153, 11581, 10862, 10229, 21548, 21549, 21550, 21551
  101, 19417, 11695, 11581, 19609, 21552, 21553, 21554, 21555
  102,  2748, 13645, 12540, 13091, 21556, 21557, 21558, 21559
  103, 14817, 15100, 18615, 14565, 21560, 21561, 21562, 21563
  104,  2965, 13479, 14006, 18523, 21564, 21565, 21566, 21567
  105, 13157, 13266,  3016, 12621, 21568, 21569, 21570, 21571
  106, 12282, 12356, 11929,  3070, 21572, 21573, 21574, 21575
  107, 11056,  3122, 11427, 11472, 21576, 21577, 21578, 21579
  108,   197, 10286, 10285,   198, 21580, 21581, 21582, 21583
  109, 10286,   197,  3374, 10595, 21580, 21584, 21585, 21586
  110, 10286, 10595, 11006,  3122, 21586, 21587, 21588, 21589
  111, 11801,  3070, 11835, 11274, 21590, 21591, 21592, 21593
  112, 11801,  3071, 17769, 12221, 21594, 21595, 21596, 21597
  113, 13488,  2967, 18454, 14097, 21598, 21599, 21600, 21601
  114, 15112, 15113, 14891,  2858, 21602, 21603, 21604, 21605
  115,  2805, 13446, 13617, 14143, 21606, 21607, 21608, 21609
  116, 12498,  2749, 12659, 12658, 21610, 21611, 21612, 21613
  117, 11034, 19674,  2696, 11695, 21614, 21615, 21616, 21617
  118, 10725, 10153,  8928, 19060, 21618, 21619, 21620, 21621
